Student_ID,First_Name,Last_Name,Email,Gender,Age,Department
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics
S1001,Maria,Brown,student1@university.com,Male,18,Business
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering
S1003,Omar,Williams,student3@university.com,Female,24,Engineering
S1004,John,Smith,student4@university.com,Female,23,CS
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics
S1006,Ahmed,Jones,student6@university.com,Male,24,Business
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering
S1008,Omar,Smith,student8@university.com,Female,21,CS
S1009,Sara,Smith,student9@university.com,Female,22,Business
S1010,John,Smith,student10@university.com,Female,23,Business
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics
S1012,John,Davis,student12@university.com,Male,21,Engineering
S1013,John,Williams,student13@university.com,Male,18,Business
S1014,Liam,Williams,student14@university.com,Male,19,CS
S1015,Ahmed,Jones,student15@university.com,Male,18,CS
S1016,Maria,Jones,student16@university.com,Female,21,Business
S1017,Liam,Davis,student17@university.com,Female,23,CS
S1018,Liam,Jones,student18@university.com,Male,20,Business
S1019,John,Johnson,student19@university.com,Male,20,CS
S1020,Emma,Davis,student20@university.com,Male,18,Business
S1021,Ahmed,Jones,student21@university.com,Male,22,Business
S1022,Sara,Davis,student22@university.com,Male,22,Business
S1023,Liam,Williams,student23@university.com,Female,23,CS
S1024,Maria,Williams,student24@university.com,Female,20,Business
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics
S1026,Emma,Johnson,student26@university.com,Male,18,Business
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering
S1028,Liam,Davis,student28@university.com,Female,21,Engineering
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics
S1030,Ahmed,Brown,student30@university.com,Female,22,Business
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering
S1032,Maria,Smith,student32@university.com,Female,21,Business
S1033,Sara,Williams,student33@university.com,Male,19,Engineering
S1034,Emma,Davis,student34@university.com,Female,21,CS
S1035,Ahmed,Smith,student35@university.com,Female,23,CS
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics
S1038,Ali,Williams,student38@university.com,Male,18,Business
S1039,John,Johnson,student39@university.com,Female,23,Mathematics
S1040,John,Johnson,student40@university.com,Male,24,Business
S1041,Omar,Smith,student41@university.com,Male,23,CS
S1042,Sara,Davis,student42@university.com,Male,20,CS
S1043,Liam,Williams,student43@university.com,Male,18,Engineering
S1044,Maria,Smith,student44@university.com,Male,22,Business
S1045,Maria,Brown,student45@university.com,Male,21,CS
S1046,Liam,Smith,student46@university.com,Male,24,CS
S1047,Omar,Jones,student47@university.com,Female,23,Business
S1048,Emma,Smith,student48@university.com,Male,18,Engineering
S1049,Emma,Jones,student49@university.com,Male,24,Engineering
S1050,Omar,Jones,student50@university.com,Female,19,Engineering
S1051,Emma,Jones,student51@university.com,Female,20,Engineering
S1052,John,Brown,student52@university.com,Female,19,CS
S1053,Maria,Smith,student53@university.com,Female,23,Business
S1054,Omar,Smith,student54@university.com,Male,19,Business
S1055,Maria,Brown,student55@university.com,Female,19,CS
S1056,Liam,Williams,student56@university.com,Female,20,CS
S1057,Ali,Johnson,student57@university.com,Male,20,CS
S1058,John,Smith,student58@university.com,Male,20,Mathematics
S1059,Ahmed,Johnson,student59@university.com,Male,24,Business
S1060,John,Davis,student60@university.com,Female,20,Business
S1061,Omar,Davis,student61@university.com,Male,19,Business
S1062,Ahmed,Brown,student62@university.com,Female,22,Engineering
S1063,Ali,Davis,student63@university.com,Male,22,CS
S1064,Omar,Davis,student64@university.com,Male,20,CS
S1065,Sara,Williams,student65@university.com,Female,24,CS
S1066,Maria,Williams,student66@university.com,Male,21,Mathematics
S1067,Ali,Williams,student67@university.com,Male,18,Business
S1068,Maria,Davis,student68@university.com,Male,23,CS
S1069,Emma,Brown,student69@university.com,Male,24,Mathematics
S1070,Sara,Jones,student70@university.com,Male,21,CS
S1071,Sara,Jones,student71@university.com,Female,23,Engineering
S1072,Ali,Johnson,student72@university.com,Female,21,Business
S1073,Sara,Jones,student73@university.com,Male,21,Mathematics
S1074,Ahmed,Jones,student74@university.com,Female,22,CS
S1075,Sara,Williams,student75@university.com,Female,18,Business
S1076,Maria,Williams,student76@university.com,Female,21,Mathematics
S1077,Maria,Davis,student77@university.com,Male,20,Business
S1078,Omar,Johnson,student78@university.com,Male,23,Business
S1079,Maria,Smith,student79@university.com,Male,24,Engineering
S1080,Omar,Johnson,student80@university.com,Female,22,Business
S1081,Maria,Johnson,student81@university.com,Female,23,Mathematics
S1082,Ahmed,Brown,student82@university.com,Male,20,Business
S1083,Liam,Davis,student83@university.com,Male,20,Mathematics
S1084,Omar,Brown,student84@university.com,Female,21,Business
S1085,John,Johnson,student85@university.com,Female,20,CS
S1086,Emma,Johnson,student86@university.com,Male,18,Engineering
S1087,Ali,Johnson,student87@university.com,Female,20,CS
S1088,Maria,Jones,student88@university.com,Female,21,Engineering
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics
S1090,Liam,Johnson,student90@university.com,Female,20,Engineering
S1091,Maria,Williams,student91@university.com,Female,22,Business
S1092,Sara,Davis,student92@university.com,Female,24,Business
S1093,Emma,Davis,student93@university.com,Female,22,CS
S1094,Emma,Williams,student94@university.com,Male,22,Engineering
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics
S1096,Sara,Jones,student96@university.com,Female,19,Mathematics
S1097,Maria,Jones,student97@university.com,Female,24,Business
S1098,Emma,Smith,student98@university.com,Female,22,Mathematics
